2025-04-21 00:55:51.558 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x6eef8be265b8ec17394b326f3e10145421f69b3e) already exists.
2025-04-21 00:55:51.558 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:51.944 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:51.944 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x95efab8c3a9134d68203e84ebb34c7c39cb5fdf4) already exists.
2025-04-21 00:55:51.944 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:53.848 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:53.848 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbbf6275e0713076a115660e1d8124832d8c1061e) already exists.
2025-04-21 00:55:53.848 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:54.307 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:54.307 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x0136a5e458d7fc43bc0c0ebdd2eff1dfe2e29662) already exists.
2025-04-21 00:55:54.307 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
